fecha,titulo,descripcion,is_fake,descripcion_stem
27/08/2021,Roban el auto del actor Tom Cruise mientras filmaba ‘Misión Imposible 7’,"El automóvil BMW X7 del actor de Hollywood Tom Cruise fue robado este viernes 27 de agosto de 2021 en Birmingham, Inglaterra, mientras filmaba Misión Imposible.",,
18/08/2021,Ciudadanos en Quito prendieron fuego a motocicleta de supuestos asaltantes,"Los habitantes del barrio Daniel Serrano de la parroquia de Guamaní, sur de Quito, incineraron una motocicleta en la que se movilizaban presuntos asaltantes.",,
14/08/2021,Peleador de la UFC evita que roben su auto: sacó a golpes a sospechoso,"A plena luz del día, un hombre intentó robar el vehículo de Jordan Williams, un peleador de la UFC que no dudó en atrapar con sus propias manos al sospechoso.",,
11/08/2021,Desconocidos retuvieron a una mujer y su hijo para robar una gasolinera en Tumbaco, amenazaron con hacer estallar una supuesta bomba,Desconocidos robaron cerca de USD 15 000 en efectivo de una de las oficinas. Para cometer el atraco amenazaron a una trabajadora con activar una bomba y hacerla estallar.,
08/08/2021,Policías sometieron a sospechosos de robo en Puembo, una mujer los amenazaba con un cuchillo,"Dos agentes de la Policía habían esposado y detenido a una persona acusada de participar de un robo en Puembo, en el nororiente de Quito.",
05/08/2021,Un militar fue entregado a la justicia, es indagado por supuesto asalto y robo de armamento de FF.AA.,La Fuerza Aérea Ecuatoriana (FAE) confirmó este 5 de agosto del 2021 que uno de sus solados fue entregado a la justicia.,
03/08/2021,Más cajeros son atacados, se rastrea a bandas extranjeras,La Policía advierte que este es un nuevo fenómeno delictivo en el país. En el presente año ya se han registrado ocho ataques.,
02/08/2021,Presunto ladrón se quedó dormido tras haber cometido varios robos,"Un insólito caso se presentó en Medellín, en el que un hombre, acusado de haber cometido un hurto fue capturado momentos después tras haberse dormido.",,
30/07/2021,Asaltantes hacen estallar dos cajeros automáticos en Machachi, hay temor,"Dos hombres hicieron explotar dos cajeros automáticos para sustraer dinero. El hecho ocurrió la madrugada de este viernes 30 de julio del 2021, en Machachi, cantón Mejía, al sur de Quito.",
27/07/2021,El millonario robo perpetrado por cuatro adultos mayores en Londres,"cuatro hombres de la tercera edad fueron protagonistas de un astuto robo en Londres (Inglaterra), valorado por unos USD 21 millones en oro, joyas y piedras preciosas.",,
23/07/2021,Policías detienen a sospechoso en insólito hecho: queda atrapado en el auto que robó,"La Policía detuvo a un joven de 24 años, luego de que el hombre quedara atrapado dentro de un auto que, aparentemente, iba a robar en Bariloche, Argentina.",,
22/07/2021,Víctimas cuentan historias de ‘terror’ durante secuestros exprés,La Policía alerta que estas redes delictivas retienen hasta tres horas a las víctimas para robar su dinero y pertenencias.,,
21/07/2021,Disfrazados de repartidores asaltaron a comensales en un restaurante en el norte de Quito,Un grupo de motorizados asaltó con armas de fuego a los clientes de un local de comidas en el norte de Quito.,,
18/07/2021,"Agresor se sube a unidad de transporte para robar, pero pasajeros se resisten y lo ignoran","Uno de los temores que aquejan a los usuarios del transporte público es ser víctimas de la inseguridad.  En un insólito video se registra uno de estos sucesos, con la particularidad de que los pasajeros se resisten e ignoran al atacante.",,
18/07/2021,Más de 30 personas afectadas por repelente de osos que sospechoso usó para robar un local en Miami,"Entre 30 y 35 personas tuvieron que ser atendidas por personal médico, después de que un supuesto ladrón usase un repelente para osos para robar en una tienda de belleza en un conocido centro comercial de Miami, informan medios locales.",,
16/07/2021,Dos hombres se hacen pasar por empleados de compañía eléctrica y roban USD 250 000 en joyas a una mujer de 81 años,"Dos hombres que se hicieron pasar por empleados de una compañía eléctrica entraron en una vivienda de  Florida, EE.UU. y robaron USD 250 000 en joyas a una mujer de 81 años.",,
14/07/2021,Sospechosos son captados en intentos de robo en Guayaquil,Varios sospechosos fueron captados en cámaras mientras intentaban ejecutar un robo en la vía pública de Guayaquil.,,
13/07/2021,Entre viernes y domingo se reporta con mayor frecuencia sucesos violentos en tres provincias del Ecuador,"El ECU 911 informó este 13 de junio que se reciben con mayor frecuencia sucesos violentos los viernes, sábados y domingos en tres provincias.",,
10/07/2021,Insólito: un hombre acaricia a una perra y aprovecha para robarle la ropa,"Cámaras de seguridad captaron un insólito hecho en Sao Paulo, Brasil. Un hombre se aprovechó de la confianza que le dio una perrita y le robó la ropa que llevaba puesta.",,
06/07/2021,Roban una camioneta con un niño adentro en Colombia,"Momentos de angustia vivieron los integrantes de una familia en el barrio El Sosiego (Colombia) cuando fueron víctimas del robo de su camioneta, con un niño de diez años.",,
05/07/2021,"Cámaras de seguridad captan accionar de presuntos delincuentes en Pomasqui, al norte de Quito",Cámaras de seguridad ubicadas en distintos puntos de Pomasqui registran dos presuntos hechos delictivos cometidos en esta parroquia rural ubicada al norte de Quito. Video: Cortesía,,
05/07/2021,Cadena perpetua a policía que robó y mató para pagar viaje a Disney por el cumpleaños de su hija,La Justicia argentina condenó este lunes 5 de julio de 2021 a cadena perpetua a una expolicía por robar y asesinar a una pareja de ancianos para pagar un viaje a Disney World.,,
05/07/2021,"Rodrigo Pérez, el panadero asesinado, es recordado en la Loma de Puengasí",Las primeras indagaciones señalan que los asaltantes le dispararon dos veces. El hecho estremeció a la Loma de Puengasí.,,
30/06/2021,Testimonio de inseguridad: ‘El cinturón le salvó a mi esposo de que lo hirieran de gravedad durante un asalto’,Tres delincuentes ingresaron a una peluquería localizada en el barrio San José de Morán de Calderón para asaltar. Aquí el testimonio de una afectada.,,
29/06/2021,Un griego roba un cuadro de Picasso para poder disfrutar de él en casa,"Un obrero griego fue el cerebro del robo de un cuadro de Picasso titulado 'Cabeza de Mujer', que ha sido recuperado nueve años después.",,
29/06/2021,Testimonio de víctima de inseguridad: ‘Me hicieron secuestro exprés para robarme USD 500 de la cuenta’,"Rommel, de 28 años, fue víctima de un asalto al estilo secuestro exprés la tarde del 23 de junio del 2021 en Carapungo, norte de Quito.",,
28/06/2021,"‘Antes los asaltantes solo robaban el celular, el dinero o las joyas, pero ahora hacen daño a la víctima’, dice Alaín Luna, comandante de Policía de Quito","La capital tiene 68 muertes violentas. De ellas, 48 son por violencia interpersonal. Eso quiere decir riñas, peleas callejeras e incluso grescas familiares.",,
25/06/2021,Asaltantes lanzan a la calle el dinero robado en un centro comercial,"Personas armadas asaltaron el local de un centro comercial de Machala y lanzaron el dinero robado a la calle, para evitar ser capturados. Una persona grabó el momento en el que la Policía resguardaba el sector en donde cayeron los billetes. Video: Redes sociales",,
25/06/2021,Dueño de panadería es asesinado por asaltantes en Quito,El propietario de una panadería fue asesinado a las 05:30 de este viernes 25 de junio del 2021 en la Loma de Puengasí.,,
24/06/2021,Indignación por el robo del dinero donado a la virgen Caridad del Cobre en San Clemente,"El dinero de dos años de donaciones fue robado por personas desconocidas que desbalijaron a la virgen Caridad del Cobre, en la calle principal del balneario San Clemente, en Manabí, provincia costera del Ecuador.",,
22/06/2021,Personas saquean la mercadería de un camión accidentado en Perú,Un camión de carga perdió pista y se accidentó en Perú. El vehículo quedó volcado sobre uno de los costados de la carrocería y bloqueó el paso de los automotores.,,
18/06/2021,Banda delictiva utiliza explosivos para robar en un cajero de Tumbaco,"Cinco encapuchados utilizaron explosivos para sustraer el dinero de un cajero automático en Tumbaco, oriente de Quito.",,
17/06/2021,Víctima de inseguridad en Quito: ‘Apuntó a mi esposo y me quedé paralizada’,Una ciudadana que tiene un negocio en el Centro Histórico de Quito cuenta su testimonio de cómo fue víctima de la inseguridad en el sector.,,
17/06/2021,Armados que asaltaban a clientes y locales en Quito fueron capturados,El rastreo de un celular permitió la captura de cinco jóvenes que integrarían una banda delictiva que se dedicaba al asalto de negocios y personas en Quito.,,
16/06/2021,Un policía debe usar un grillete y otro no podrá abandonar el país tras la muerte de dos sospechosos de robo, los agentes son indagados,"La mañana de hoy, miércoles, 16 de junio del 2021, un juez de garantías penales ordenó la colocación de un grillete electrónico y la prohibición de salida del país para dos servidores policiales.",
15/06/2021,Video capta asalto con armas de fuego a local de comidas en Quito,Un robo a un local de comidas en Quito fue captado por una cámara de seguridad la noche del lunes 15 de junio del 2021.,,
15/06/2021,Cámara de seguridad registra asalto a local de comidas en Quito,"Una cámara de seguridad captó la noche del lunes 14 de junio del 2021 cómo un grupo de personas llega en motocicletas a un local de comidas en el norte de Quito y, con armas de fuego, proceden a robar. Video: Cortesía",,
12/06/2021,Policías ‘celebran’ en una comisaría el cumpleaños de un detenido por robo,"""No podemos dejar pasar una fecha como ésta"". Así inicia el video de unos policías de Brasil celebrando el cumpleaños de un joven detenido.",,
11/06/2021,Agente metropolitana fue apuñalada en el brazo mientras colaboraba en un proceso de detención a un sospechoso de robo,La agresión se produjo mientras la agente metropolitana realizaba controles junto a sus compañeros del Grupo de Apoyo a la Seguridad del Transporte Público.,,
09/06/2021,Banda delictiva utilizó explosivos para intentar robar el dinero de un cajero en el norte de Quito,"Una banda delictiva trató de robar el dinero de un cajero automático ubicado en la avenida Edmundo Carvajal y calle C, cerca al centro comercial El Bosque, en el noroccidente de Quito.",,
08/06/2021,"Roban pierna ortopédica con dibujos de superhéroes, valorada en USD 15 000",La Policía de la ciudad floridana de St. Petersburg pidió a la población ayuda para localizar una pierna ortopédica valorada en miles de dólares.,,
04/06/2021,Testimonio de inseguridad en Cumbayá: ‘Los delincuentes nos arrinconaron contra la pared y nos apuntaron con armas de fuego’,Un asalto a dos mujeres deportistas se produjo a las 06:00 del miércoles 2 de junio del 2021 en la calle Francisco de Orellana de Cumbayá.,,
04/06/2021,Policías obligan a hombre a devolver los objetos robados de un domicilio en Quito,"En la imágenes, en el sector de La Ferroviaria, en el sur de Quito, un hombre usando sus manos y pies trepó por las paredes e ingresó a una vivienda. Pero segundos después llega la Policía Nacional. Video: Cortesía Ecu 911",,
03/06/2021,10 alertas diarias de presuntos hechos delictivos en Quito, 1 500 han sido evitados en lo que va del 2021,El Servicio de Emergencias ECU 911 informó que se han evitado 1 500 presuntos delitos en Quito.,
27/05/2021,Cinco personas que intentaban robar USD 300 000 de tres cajeros automáticos fueron detenidas en Quito,Los agentes detuvieron a cuatro personas en las inmediaciones de los cajeros ubicados en el sector de El Condado.,,
22/05/2021,"Seis detenidos por robo de ‘joyas valoradas en varios millones de dólares’, en Quito","La Policía detuvo a 6 personas sospechosas de un robo millonario en piedras preciosas, en Quito. Así lo informó la entidad, este 22 de mayo del 2021.",,
17/05/2021,"Una persona es investigada por el robo de USD 70 000 en Baños de Agua Santa, en Tungurahua","El hecho delictivo, donde se sustrajeron una caja fuerte que contenía dinero, letras de cambio y joyas por un monto de USD 70 000, se registró el viernes 14 de mayo del 2021.",,
05/05/2021,El supuesto responsable del robo de un vehículo falleció tras ser linchado, una mujer resultó con heridas y quemaduras,"Una turba quemó vivo a un hombre acusado del supuesto robo de un vehículo en una localidad rural de la región boliviana de Potosí, un suceso en el que también resultó herida una mujer sindicada de ser cómplice del fallecido.",
02/05/2021,"Un hombre acusado de robar una bicicleta recibió un baño de purificación en Peguche, Otavalo","Un ciudadano acusado de robar una bicicleta fue sancionado mediante la justicia indígena la noche de hoy, 2 de mayo del 2021. Los habitantes de la comunidad kichwa de Peguche, perteneciente al cantón Otavalo, en la provincia de Imbabura, resolvieron aplicarle un baño de purificación.",,
29/04/2021,Paro Nacional Cali-Colombia: manifestantes devuelven cosas robadas por vándalos,En el marco del Paro Nacional de este 28 de abril se presentaron diversos actos tanto de luces como de sombras. En diferentes partes del país salieron miles de manifestantes a pronunciarse sobre varios temas.,,
26/04/2021,"Dos hombres fueron sometidos a la justicia indígena tras un presunto asalto a una familia en Saquisilí, en Cotopaxi","Dos personas fueron sometidas a la justicia indígena en el cantón Saquisilí, en la provincia de Cotopaxi. El hecho se registró a las 22:30 del domingo 25 de abril del 2021.",,
23/04/2021,Le roban USD 32 millones a una mujer con estafa telefónica,"Una mujer china, de 90 años, fue víctima de la mayor estafa telefónica registrada en Hong Kong, según informaron los oficiales a cargo del caso el jueves 22 de abril del 2021.",,
22/04/2021,"Tras una balacera registrada en el centro de Quito, un sospechoso de robar a los transeúntes murió y otro fue detenido",Agentes de la Policía respondieron a un ataque armado de una presunta banda delictiva que se dedicaba al asalto a peatones. El hecho se produjo la mañana de este jueves 22 de abril del 2021. Uno de los sospechosos fue herido y falleció minutos después. Otro está detenido para investigaciones.,,
20/04/2021,"Videos del ECU 911 detectan maniobras de sospechosos en robo a carro, local y casa","El ECU 911 captó el momento en que personas sospechosas intentan robar un carro, un local comercial y una casa en distintos sectores de Guayaquil y Daule. Según el servicio de emergencia, al percatarse de la actitud inusual de los ciudadanos, el operador alerta a la Policía para su captura. Video: ECU 911",,
14/04/2021,Cámaras captan el robo de una cartera en un local en La Floresta,"Las cámaras de un local que comercializa llantas captó cómo una mujer sustrae una cartera para luego huir. El hecho sucedió en el sector de La Floresta, Quito, este miércoles 14 de abril del 2021. Crédito: Video Cortesía",,
14/04/2021,"Robo de una cartera al interior de un local que comercializa llantas, en el sector de La Floresta, se registró en video","Tres personas fueron detenidas por la Policía Nacional al mediodía de este miércoles 14 de abril del 2021 en La Floresta, un barrio de clase media localizado en el centro de Quito.",,
13/04/2021,Robo a un adulto mayor que caminaba con muletas en el Centro de Quito,"Una mujer sigilosamente ingresa la mano en el bolsillo del adulto mayor, saca la cartera y la guarda en una maleta. El hombre salió a comprar víveres en una bodega y le arrebataron lo que tenía. En San Blas los vecinos dicen que los robos y asaltos se producen a cualquier hora del día. Video cortesía",,
11/04/2021,Dos sospechosos fallecidos y un policía herido dejó un intento de robo en el sur de Quito,El hecho ocurrió la madrugada de este domingo 11 de abril del 2021. Dos sospechosos fallecidos y un policía herido dejó un intento de robo en el sur de Quito.,,
09/04/2021,Un hombre robó una casa y escapó en una patrulla policial en Chile,"Un hombre ingresó a una vivienda para robar y fue sorprendido por la policía, en el norte de Chile. Agentes de Carabineros habían observado al hombre ingresar al domicilio escalando uno de sus muros, la tarde del pasado jueves 8 de abril de 2021.",,
08/04/2021,Alerta por aplicación maliciosa que roba los datos de WhatsApp haciéndose pasar por Netflix,"La compañía de ciberseguridad Check Point ha alertado sobre la presencia de una aplicación maliciosa para móviles Android llamada FlixOnline que, bajo la apariencia de la plataforma de 'streaming' Netflix, infecta los dispositivos y les roba los datos de sus cuentas de WhatsApp.",,
07/04/2021,Cámaras de vigilancia captan un robo de retrovisores en Guayaquil,El sistema Ojos de Águila de la Corporación para la Seguridad Ciudadana (CSCG) de Guayaquil captó a un hombre robando los espejos retrovisores de un vehículo en la intersección entre las avenidas Primero de Mayo y Del Ejército.,,
04/04/2021,"Ciudadano localiza con GPS su teléfono robado, pero sin orden judicial no se pudo hacer requisa","Este domingo 4 de abril del 2021, un ciudadano que denunció haber sido víctima de un asalto en Quito, logró encontrar con el GPS su celular, pero sin una orden judicial la Policía no pudo hacer requisa.",,
04/04/2021,"Ciudadano localiza con GPS su teléfono robado, pero sin orden judicial no se pudo hacer requisa","Este domingo 4 de abril del 2021, un ciudadano que denunció haber sido víctima de un asalto en Quito, logró encontrar con el GPS su celular, pero sin una orden judicial la Policía no pudo hacer requisa.",,
04/04/2021,Juez dicta prisión para 2 enfermeras por caso de robo de vacunas en Bolivia,"Un juez en la localidad boliviana de Guayaramerín determinó la detención preventiva de dos enfermeras que estaban a cargo de la custodia de 500 vacunas contra el covid-19 que desaparecieron de un centro de salud y que luego fueron devueltas, informó el domingo 4 de abril del 2021 la Fiscalía.",,
31/03/2021,"Ir a la Fiscalía a poner una denuncia es pérdida de tiempo, dice un policía a una mujer; el Ministro de Gobierno se pronuncia","El video dura dos minutos. A través de redes sociales, una mujer denunció un altercado que tuvo con dos policías, luego de que tres sospechosos intentaran robarle en el Centro Histórico de Quito.",,
26/03/2021,Una falsa actualización podría robar datos sensibles de su celular,Un nuevo 'malware' para Android se camufla como una actualización crítica del sistema para apoderarse del dispositivo de la víctima y robar todos los datos allí almacenados.,,
25/03/2021,"Ladrón entró a robar, se arrepintió, pagó la cuenta y dejó propina","No fue en China, ni Tailandia, ni Brasil o Estados Unidos, donde suelen ocurrir casos. El increíble y hasta anecdótico caso ocurrió en el barrio Villa Javier, en el sur de Bogotá, Colombia.",,
