fecha,titulo,descripcion,is_fake,descripcion_stem
23/03/2021,"Videos registran asaltos tipo bujiazo en la avenida Velasco Ibarra, en Quito","Los asaltos violentos a conductores de vehículos particulares, bajo la modalidad denominada 'bujiazo', se reportan con frecuencia en diferentes sectores de la avenida José María Velasco Ibarra, la autopista General Rumiñahui y el intercambiador de El Trébol, oriente de Quito.",,
22/03/2021,Roban a mano armada 20 dosis de vacuna contra el covid-19 en Brasil,"Dos hombres armados invadieron este lunes 22 de marzo del 2021 un ambulatorio en la ciudad brasileña de Natal (nordeste) y robaron dos ampollas de la vacuna anticovid equivalentes a 20 dosis del antígeno, informaron fuentes policiales.",,
22/03/2021,"Cinco detenidos en Quito cuando ‘traspasaban’ televisores, laptops y celulares de alta gama robados","Cinco personas fueron detenidas en Quito como parte de un operativo para capturar a integrantes de una banda dedicada al robo de domicilio, accesorios de vehículos y personas, informó la Policía Nacional la mañana de este lunes 22 de marzo de 2021.",,
16/03/2021,Robo a un restaurante en el norte de Quito quedó registrado en video,"Eran las 21:13 del lunes 15 de marzo del 2021 cuando tres hombres ingresaron a un restaurante ubicado en las cercanías de un centro comercial en el norte de Quito. A los pocos segundos, uno saca un arma y apunta a unos comensales y otros dos se acercan a la caja del local.",,
16/03/2021,Asalto a un restaurante en el norte de Quito quedó registrado en video,Una cámara captó el momento en el que tres hombres asaltaron un restaurante ubicado en el norte de Quito. El robo se cometió en menos de un minuto. Video: Redes sociales,,
09/03/2021,Nicolás Maduro acusa a Iván Duque de un supuesto plan para robar armas a Venezuela,"El presidente de Venezuela, Nicolás Maduro, acusó este martes 9 de marzo del 2021 a su homólogo colombiano, Iván Duque, de un supuesto plan para robar armas a la Fuerza Armada Nacional Bolivariana (FANB), por lo que pidió a los militares no bajar la guardia.",,
07/03/2021,Policía recuperó un vehículo cuyo robo fue captado en video,La Policía recuperó el sábado 6 de marzo del 2021 un vehículo cuyo robo había quedado registrado en una cámara de seguridad.,,
06/03/2021,Testimonio de inseguridad: ‘Mi mamá se arrojó de un carro en movimiento para evitar que la secuestraran’,Una pesadilla vivió la familia de Brenda (nombre protegido) la noche del pasado viernes 5 de marzo del 2021 luego de que su madre fuera víctima de un asalto en el norte de Quito tras tomar un taxi.,,
04/03/2021,Roban vehículo en Quito, lo usaban para transportar a menor con discapacidad,"Un vehículo liviano fue sustraído afuera de la casa de Esmeralda, su propietaria que vive en el sector de Guamaní, en el Barrio Santo Tomás II, en el sur de Quito. La mujer utilizó las redes sociales para denunciar el hecho y pedir ayuda para recuperar su vehículo.",
03/03/2021,Los equipos de video robados de un vehículo en Ibarra fueron recuperados en la frontera con Colombia,"La Policía Nacional recuperó los equipos de video que fueron sustraídos del interior de un vehículo que estaba estacionado en un hotel de Ibarra, en la provincia de Imbabura.",,
03/03/2021,"Videos muestran un asalto en las oficinas del Barcelona SC, en el estadio Monumental en Guayaquil","Las oficinas administrativas del Barcelona Sporting Club fueron asaltadas, según videos que trascendieron la tarde de este miércoles, 3 de marzo del 2021.",,
03/03/2021,Conductor atropelló a joven que habría robado el celular de su novia,"Un joven, de 23 años, que se movilizaba en bicicleta aprovechó un descuido de una mujer, que estaba en una calle de Vila Velha, municipio de Brasil, para robarle el celular.",,
01/03/2021,En 13 segundos un hombre quitó una ventana de un vehículo y se llevó varios artículos de fotografía y video en Ibarra,Un hombre se sustrajo varios equipos de video tras quitar la ventana de un vehículo estacionado. El hecho se registró en la ciudad de Ibarra.,,
01/03/2021,En apenas 12 días una mujer sufrió dos asaltos en Cumbayá y Quito,"Lorena (nombre protegido), de 38 años, sufrió un asalto cuando salió a trabajar en el automóvil de su prima, al mediodía del jueves 11 de febrero del 2021, en una zona abandonada cerca de Lumbisí y San Francisco de Pinsha, en la parroquia Cumbayá, en el oriente de Quito.",,
01/03/2021,Testimonio de inseguridad: ‘Un hombre se hizo pasar como repartidor de pizzas intentó ingresar a nuestra casa’,"A las 20:30 del lunes 22 de febrero del 2021, la familia de Liseth (nombre protegido) recibió la visita de un hombre que se hizo pasar como repartidor de pizzas de una conocida cadena que tiene varias sucursales en Quito. Sus familiares nunca hicieron un pedido esa noche, pero el individuo conocía el nombre de su padre. Ellos sospechan que les trataron de robar.",,
01/03/2021,Matan a tiros frente a su padre a un adolescente que quiso evitar el robo de su casa,"""Se murió en mis brazos. Me dejaron destrozado"", dice el padre de Marcos Ignacio Mendoza Arnez. El joven de 18 años fue asesinado el pasado viernes 26 de febrero del 2021 en su casa ubicada en Ezpeleta (Argentina) cuando intentó defender a su familia de un grupo de personas que intentó robar su casa. Así lo relató su padre al medio Todo Noticias.",,
26/02/2021,Video capta a motociclista que invade veredas en Quito para robar a transeúntes,Las imágenes circularon en redes sociales. En el video se puede ver a una motocicleta que invade las veredas de una vía de Quito y el conductor del vehículo aprovecha la velocidad del automotor para arranchar un objeto a la víctima y escapar.,,
25/02/2021,"Sospechoso de robar el anillo del expresidente argentino Carlos Menem, en rebeldía","Uno de los tres enfermeros imputados en la causa en la que se investiga el robo de un anillo de valor sentimental del fallecido expresidente argentino Carlos Menem (1989-1999) se encuentra en estado de rebeldía de la Justicia, según explicó el abogado querellante.",,
25/02/2021,Hombre robó dos bulldogs de Lady Gaga tras disparar a paseador,"Un hombre robó dos bulldogs de Lady Gaga tras disparar el miércoles 24 de febrero del 2021 por la noche al paseador de perros de la estrella, informó este jueves 25 de febrero el medio especializado en noticias de famosos TMZ.",,
23/02/2021,Conductor esperaba una pasajera en San Roque cuando intentaron asaltarle, el hecho quedó grabado en video,Alberto (nombre protegido) registró en video el momento en que presuntamente es víctima de un asalto. El ciudadano salió a trabajar en su automóvil en Quito.,
23/02/2021,"En apenas 24 horas, desconocidos se robaron ocho rejillas de alcantarilla en el barrio Andalucía, en el norte de Quito","Los robos de rejillas de alcantarillas son frecuentes en Andalucía, un barrio localizado en el norte de Quito. Los vecinos aseguran que desconocidos las sustraen en horas de la madrugada y se las llevan en vehículos.",,
19/02/2021,"Testimonio de asalto en Lumbisí: ‘Los delincuentes amarraron mis manos, pies y boca con cinta de embalaje’","Lorena (nombre protegido), de 38 años, sufrió un asalto cuando salió a trabajar en el automóvil de su prima. Ocurrió al mediodía del jueves 11 de febrero del 2021 en una zona abandonada, la cual se ubica entre Lumbisí y San Francisco de Pinsha, en el oriente de Quito.",,
18/02/2021,Imputan a tres enfermeros por robar anillo del expresidente argentino Carlos Menem,Tres enfermeros que estuvieron a cargo de la salud del fallecido expresidente argentino Carlos Menem (1989-1999) quedaron imputados este jueves 18 de febrero del 2021 en la causa en la que se investiga el robo de un anillo de valor sentimental para el exmandatario.,,
17/02/2021,Investigan el robo de vacunas contra el covid-19 en el sur de Argentina,"La Justicia de Argentina investiga el presunto hurto de una treintena de dosis de la vacuna rusa Sputnik V contra el covid-19 en un hospital público del sur del país, confirmaron este miércoles 17 de febrero del 2021 fuentes oficiales.",,
12/02/2021,Testimonio de inseguridad: ‘Los delincuentes me amarraron y golpearon para robar el carro de mi hermano’,"Luciana (nombre protegido) es una chica de 18 años que sufrió un asalto violento mientras laboraba en el automóvil de su hermano, un Chevrolet Aveo Emotion Advance blanco de placas PCF 7836. La noche del sábado 6 de febrero del 2021, ella hizo una carrera a una pareja y le robaron el vehículo.",,
09/02/2021,Acusado de robo fue atacado por una turba en Quito,Un hombre acusado de robo a mano armada fue atacado por una turba en Quito. El video del hecho se viralizó en redes sociales. Video: redes sociales.,,
09/02/2021,Turba intentó linchar a una persona acusada de un robo a mano armada en el centro de Quito,"Un video de 59 segundos se viralizó en las últimas horas en las redes sociales. En las imágenes se observa que un hombre es agredido con palos, puñetes y patadas por un grupo de ciudadanos en las calles Manuel Larrea y Río de Janeiro del barrio América, en el centro de Quito.",,
05/02/2021,‘Delincuentes arrojaron un clavo ‘miguelito’ a la llanta de mi vehículo en la avenida Edmundo Carvajal’,"Momentos de pánico vivió Daniela E., la mañana del jueves 4 de febrero del 2021, mientras circulaba por la avenida Edmundo Carvajal, la cual se ubica en una zona exclusiva del noroccidente de Quito. Un hombre le arrojó un clavo 'miguelito' en uno de los neumáticos de su vehículo tras salir del autobanco de un centro comercial.",,
05/02/2021,Detenidos en el caso Ruales son indagados por el robo del vehículo que se utilizó en el crimen,"Tres personas fueron detenidas por hechos relacionados con el asesinato del presentador de televisión Efraín Ruales. Así lo confirmó la Fiscalía la mañana de este viernes, 5 de febrero del 2021.",,
04/02/2021,Mercadería robada a un camión del Guayas se vendía en Quito por redes sociales,"1 000 cajas con guantes de nitrilo, un material similar al látex, fueron encontradas en el interior de una camioneta que se movilizaba en el sur de Quito. La mercadería, según la Policía Judicial, había sido robada de un camión asaltado en una carretera de Bucay, en Guayas.",,
04/02/2021,El agricultor boliviano que pasó de sufrir un robo a ganar la lotería,"El día en que la televisión transmitía el primer sorteo de la Lotería Nacional del año en Bolivia, Nelzon V. estaba ayudando a sus padres con sus cultivos de maíz. Él aún ignoraba que era el ganador del premio mayor de 100 000 bolivianos, el equivalente a un poco más de USD 14 000.",,
03/02/2021,Ocho sospechosos asaltan un local avícola en Guayaquil y roban USD 10 500,"Hombres ingresaron en una avícola en el noreste de Guayaquil, 2 de ellos vestidos con ropa similar a la Policía Nacional. Los hombres presuntamente robaron USD 9 000 y USD 1 500 en cheques. Video Redes sociales",,
03/02/2021,Hombres vestidos como policías robaron una avícola en Guayaquil,"Cámaras de seguridad captaron el robo a una avícola en Guayaquil. El hecho se registró el martes, 2 de febrero del 2021, a las 07:15.",,
02/02/2021,Guardia fue detenido por muerte de joven en parada del Corredor Sur Oriental, al parecer hubo un robo a una mujer,"La Dirección de Delitos Contra la Vida (Dinased) investiga la muerte violenta de un joven, ocurrida la mañana de este martes 2 de febrero del 2021. El hecho se registró en el interior de la parada del Corredor Sur Oriental Santa Bárbara, ubicada en el distrito de Quitumbe, en el sur de Quito.",
28/01/2021,El auto que se usó para matar a Efraín Ruales estaba reportado como robado,"Este 28 de enero del 2021 se conoció que el auto que se utilizó para asesinar al presentador de televisión, Efraín Ruales, había sido robado el pasado 6 de enero del 2021. Así lo detalla una denuncia puesta en Fiscalía por el propietario del vehículo.",,
27/01/2021,Se entrega jefe de bomberos en EE.UU. buscado por robo de vacunas contra el covid-19,"Un paramédico y supervisor de bomberos del condado Polk, en Florida (EE.UU.), buscado por la policía por un robo de vacunas contra el covid-19, se entregó este miércoles 27 de enero del 2021 a las autoridades tras el arresto de uno de sus subordinados por el mismo caso.",,
26/01/2021,Desconocidos intentaron robar a pasajeros de bus en Guayaquil,"Con un arma de fuego dos hombres amenazaron a los usuarios de un bus mientras les arrebataban los bolsos, carteras, celulares y dinero. El atraco quedó grabado en una cámara de video del transporte público en Guayaquil. Video: @InformadosEcuador",,
25/01/2021,El robo a una peluquería en el norte de Quito quedó registrado en video,Una peluquería localizada en las calles Yánez Pinzón y La Niña fue robada durante la madrugada del sábado 9 de enero del 2021. El asaltante rompió la puerta de vidrio templado y se llevó un televisor. Video: cortesía.,,
25/01/2021,Testimonio de inseguridad: ‘Nos rompieron la puerta de la peluquería para robarnos’,"El robo a un restaurante, ubicado en las calles Isabel La Católica y Gangotena, en el barrio La Floresta, centro de Quito, se viralizó la semana anterior en las redes sociales a través de un video. En las imágenes se observa a un individuo que forzó las seguridades, accedió al establecimiento, se llevó un televisor y huyó rápidamente.",,
25/01/2021,Médico robó vacunas contra el covid-19 para sus amigos y familiares en EE.UU.,"Un médico del Condado de Harris, en el sur de Estados Unidos, fue denunciado por robar un frasco con vacunas para combatir el covid-19, según anunciaron autoridades de la localidad.",,
22/01/2021,"Video registra robo a restaurante en Quito, a tres cuadras de una UPC","El robo se registró la madrugada de este viernes 22 de enero del 2021, cuando no había comensales ni empleados en el restaurante Vieja Europa, en las calles Isabel La Católica y Gangotena del barrio La Floresta, en el centro-norte de Quito. El hecho quedó registrado en un video.",,
22/01/2021,Cámara captó robo a un restaurante en Quito,"Una cámara de seguridad registró el momento en el que un hombre entró a un restaurante ubicado en La Floresta, norte de Quito, y roba un televisor. El local se encuentra a pocas cuadras de una Unidad de Policía Comunitaria.",,
21/01/2021,14 automóviles robados en Colombia fueron vendidos en Ecuador,"Este 21 de enero del 2021 cruzaron de Ecuador a Colombia, por el Puente Internacional de Rumichaca, 14 vehículos de alta y media gama. Se trata de automóviles que fueron robados en la nación vecina y recuperados en Ecuador, por la Policía Nacional.",,
21/01/2021,Cámara registra a un vendedor que se enfrenta a hombres armados cuando asaltan un local,"La cámara de seguridad de un local comercial captó el momento en el que un hombre que atendía el negocio fue asaltado por dos atacantes armados. La víctima reacciona y al notar que se defiende, uno de los sospechosos huye, mientras el otro es enfrentado por el vendedor, quien lo neutraliza. Video: Redes sociales",,
21/01/2021,Video registra a un vendedor que defiende su local en Ecuador con una llave al estilo de la ‘lucha libre’,"En imágenes, difundidas en redes sociales, se puede observar el momento en el que un hombre defiende su negocio de dos hombres armados que ingresaron al local comercial. El hecho sucedió en Cuenca, en el sur del Ecuador.",,
20/01/2021,11 transformadores de distribución fueron robados de la iluminación pública en tres cantones de Tungurahua,"La Empresa Eléctrica Ambato presentará una denuncia en la Fiscalía de Tungurahua sobre el robo de 11 transformadores de distribución. La sustracción de estos equipos dejó sin alumbrado público algunos tramos de las vías que unen a los cantones Pelileo, Ambato y Patate.",,
18/01/2021,Un hombre fue detenido tras matar a un joven que le habría robado el celular,"Un hombre fue capturado este domingo 18 de enero del 2021 por uniformados de la Policía de Bogotá (Colombia) por haber asesinado a un joven de 23 años quien, presuntamente, le habría robado su celular horas antes en una vía pública.",,
15/01/2021,45 detenidos tras un intento de robo en una mina estatal de Bolivia,"Un intento de robo de mineral y material de trabajo en el yacimiento boliviano Huanuni, administrado por el Estado, fue repelido por los obreros de esa mina y se saldó con la detención de 45 personas.",,
14/01/2021,Video registra el robo de un auto en Quito en menos de dos minutos con ‘control universal’,Un video registra cómo roban un vehículo con un aparato conocido como 'control universal'. Los sospechosos se llevan el automotor en menos de dos minutos. Video: Redes sociales,,
14/01/2021,Video registra el robo de un vehículo en Quito con un ‘control universal’,"Un video difundido en redes sociales muestra el robo de un vehículo que se encontraba estacionado en una calle de Quito. Las imágenes fueron compartidas por usuarios de Twitter, quienes alertaban sobre la modalidad de ese delito en la capital de Ecuador con un dispositivo conocido como 'control universal'.",,
12/01/2021,Cámaras de vigilancia captan el intento de robo a una vivienda en Guayaquil,Las cámaras del sistema ojos de águila de la Corporación de Seguridad Ciudadana de Guayaquil (CSCG) captaron el momento en el que dos hombres trepan paredes desde una vereda para robar una casa ubicada entre las calles Colón y Tungurahua.,,
07/01/2021,"Robo a un taxista en San Roque, en Quito, queda grabado en video","Una persona grabó el momento en el que un conductor de un taxi fue asaltado en la av. Mariscal Sucre, justo debajo del puente peatonal de San Roque, en el Centro Histórico de Quito.",,
05/01/2021,Cámara capta cómo una mujer simula y se viste con pijama para robar vehículos en el sur de Quito,"Una cámara de seguridad registró a una mujer que simula ser moradora del barrio La Gatazo, en el sur de Quito, para robar carteras dentro de una camioneta. La sospechosa usa un traje de pijama para acercarse al vehículo y aprovecha que el propietario descarga unas cajas, para sustraer los objetos. Video: Cortesía",,
05/01/2021,Sospechosa usa pijama para robar vehículo en el sur de Quito, vecinos de La Gatazo denuncian asaltos constantes,"El local de soluciones informáticas y pagos de servicios de Juan Carlos, ubicado en la calle Pilaló, en La Gatazo, en el sur de Quito, permanece cerrado con rejas.",
02/01/2021,El conmovedor gesto de un Policía con dos mujeres que fueron descubiertas robando alimentos de una tienda,"Unos días antes de Navidad, Matt Lima, oficial de Policía de Massachusetts, fue llamado a una tienda para atender un caso de robo. Dos mujeres habían sido detenidas por el personal de seguridad del local acusadas de no haber pagado por todo lo que habían colocado en sus fundas.",,
31/12/2020,Polémica en Colombia por militares que roban ayudas humanitarias para isla destruida por el huracán Iota,"Una polémica se desató este jueves 31 de diciembre del 2020 en Colombia luego de que grupo de militares robaran ayudas humanitarias para la isla caribeña de Providencia, destruida completamente por el huracán Iota de categoría cinco en noviembre pasado, por lo que los uniformados serán sancionados.",,
